mi	delay_remember	delay_forget
1100.0000	29.3174	47.7179
1150.0000	23.6483	33.6408
1200.0000	19.7450	25.0843
1250.0000	17.3837	20.1801
1300.0000	15.8303	16.9577
1350.0000	14.3364	14.6029
1400.0000	13.1495	12.8571
1450.0000	12.2490	11.3547
1500.0000	11.3287	10.3156
1550.0000	10.5178	9.2899
1600.0000	9.8169	8.5590
1650.0000	9.3827	7.9981
1700.0000	8.7988	7.3767
1750.0000	8.3544	6.8999
1800.0000	7.9151	6.4914
1850.0000	7.5967	6.0752
1900.0000	7.2274	5.8245
1950.0000	6.9308	5.4939
2000.0000	6.6022	5.2442
2050.0000	6.3566	4.9756
2100.0000	6.0696	4.7534
2150.0000	5.9132	4.5773
2200.0000	5.6245	4.3541
2250.0000	5.4532	4.1977
2300.0000	5.2117	4.0259
2350.0000	5.0764	3.9021
2400.0000	4.8981	3.7366
2450.0000	4.7204	3.6303
2500.0000	4.5825	3.4923
2550.0000	4.4423	3.4091
2600.0000	4.2961	3.2946
2650.0000	4.1691	3.2002
2700.0000	4.0800	3.1062
2750.0000	3.9709	3.0103
2800.0000	3.8350	2.9478
2850.0000	3.7277	2.8517
2900.0000	3.6339	2.7899
2950.0000	3.5612	2.7047
3000.0000	3.4489	2.6486
3050.0000	3.3612	2.5771
3100.0000	3.2880	2.5240
3150.0000	3.2336	2.4722
3200.0000	3.1283	2.4142
3250.0000	3.0947	2.3501
3300.0000	2.9964	2.3099
3350.0000	2.9417	2.2638
3400.0000	2.8773	2.2100
3450.0000	2.8081	2.1725
3500.0000	2.7468	2.1224
3550.0000	2.7095	2.0838
3600.0000	2.6625	2.0437
3650.0000	2.5843	2.0045
3700.0000	2.5404	1.9697
3750.0000	2.5133	1.9313
3800.0000	2.4493	1.8980
3850.0000	2.4076	1.8618
3900.0000	2.3637	1.8353
3950.0000	2.3166	1.8042
4000.0000	2.2763	1.7698
4050.0000	2.2460	1.7414
